RISK,PHP,liab_30/06/2022,asset_30/06/2022,30/06/2022,liab_IR,asset_IR,IR,liab_CS,asset_CS,CS,liab_VA,asset_VA,VA,liab_SA,asset_SA,SA,liab_INFL,asset_INFL,INFL,liab_AuM_UL,asset_AuM_UL,AuM_UL,liab_AuM_AZFR,asset_AuM_AZFR,AuM_AZFR
TYPE 1,GROSS,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14486222.496800955,4710.7614140000005,14490933.258214956,14486222.496800955,4710.7614140000005,14490933.258214956
TYPE 1,NET,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14852167.0,4710.7614140000005,14856877.761414,14486222.496800955,4710.7614140000005,14490933.258214956,14486222.496800955,4710.7614140000005,14490933.258214956
TYPE 2,GROSS,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,37450031.087880515,3192352.053,40642383.14088052,37450031.087880515,3192352.053,40642383.14088052
TYPE 2,NET,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,38309490.58,3192352.053,41501842.633,37450031.087880515,3192352.053,40642383.14088052,37450031.087880515,3192352.053,40642383.14088052
CURRENCY RISK,GROSS,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996
CURRENCY RISK,NET,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996,2009815.0,-13052.230000000447,1996762.7699999996
INTEREST RATE RISK DOWN,GROSS,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008,194619667.48700008,-11625623.599999994,182994043.88700008
INTEREST RATE RISK DOWN,NET,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005,16977252.687,-11625623.599999994,5351629.087000005
INTEREST RATE RISK UP,GROSS,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426,-15197954.033999924,15459210.700000018,261256.66600009426
INTEREST RATE RISK UP,NET,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997,-22565963.403999988,15459210.700000018,-7106752.70399997
LAPSE RISK,GROSS,284165916.06200004,0.0,284165916.06200004,284165916.06200004,0.0,284165916.06200004,284165916.06200004,0.0,284165916.06200004,284165916.06200004,0.0,284165916.06200004,284165916.06200004,0.0,284165916.06200004,284165916.06200004,0.0,284165916.06200004,282416274.80171657,0.0,282416274.80171657,242383655.36987233,0.0,242383655.36987233
LAPSE RISK,NET,79814585.84200001,0.0,79814585.84200001,79814585.84200001,0.0,79814585.84200001,79814585.84200001,0.0,79814585.84200001,79814585.84200001,0.0,79814585.84200001,79814585.84200001,0.0,79814585.84200001,79814585.84200001,0.0,79814585.84200001,78064944.58171652,0.0,78064944.58171652,71472371.14592265,0.0,71472371.14592265
LONGEVITY RISK,GROSS,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007,1630146.80200007,0.0,1630146.80200007
LONGEVITY RISK,NET,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003,1630146.802000003,0.0,1630146.802000003
EXPENSES RISK,GROSS,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001,18902413.2680001,0.0,18902413.2680001
EXPENSES RISK,NET,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988,18902413.267999988,0.0,18902413.267999988
DISABILITY RISK,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISABILITY RISK,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,GROSS,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555,479916.30600008555,0.0,479916.30600008555
CAT,NET,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866,189615.74600000866,0.0,189615.74600000866
MORTALITY RISK,GROSS,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076,7527307.563000076,0.0,7527307.563000076
MORTALITY RISK,NET,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064,3018956.8630000064,0.0,3018956.8630000064
REVISION RISK,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REVISION RISK,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPERTY RISK,GROSS,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0,0.0,19950750.0,19950750.0
PROPERTY RISK,NET,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993,-1248246.9300000072,19950750.0,18702503.069999993
CONCENTRATION RISK,GROSS,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916
SPREAD RISK,GROSS,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023
TYPE 1 EXPOSURES,GROSS,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769
TYPE 2 EXPOSURES,GROSS,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985
CONCENTRATION RISK,NET,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916,0.0,2289604.916,2289604.916
SPREAD RISK,NET,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023,0.0,12038850.564300023,12038850.564300023
TYPE 1 EXPOSURES,NET,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769,0.0,5060919.769,5060919.769
TYPE 2 EXPOSURES,NET,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985,0.0,3039694.985,3039694.985
